,PORTCODE,ASONDATE,VALUE
388,500135,22-12-2012,98.1259824085378
389,500135,23-12-2012,98.1259824085378
390,500135,24-12-2012,98.1259824085378
391,500135,25-12-2012,98.1259824085378
392,500135,26-12-2012,98.1259824085378
393,500135,27-12-2012,98.1259824085378
394,500135,28-12-2012,98.1259824085378
395,500135,29-12-2012,98.1259824085378
396,500135,30-12-2012,98.1259824085378
397,500135,31-12-2012,99.6188438958006
398,500135,01-01-2013,99.6188438958006
399,500135,02-01-2013,99.6188438958006
400,500135,03-01-2013,99.6188438958006
401,500135,04-01-2013,99.6188438958006
402,500135,05-01-2013,99.6188438958006
403,500135,06-01-2013,99.6188438958006
404,500135,07-01-2013,99.6188438958006
405,500135,08-01-2013,100.935552668594
406,500135,09-01-2013,100.935552668594
407,500135,10-01-2013,100.935552668594
408,500135,11-01-2013,100.935552668594
409,500135,12-01-2013,100.935552668594
410,500135,13-01-2013,100.935552668594
411,500135,14-01-2013,100.935552668594
412,500135,15-01-2013,100.935552668594
413,500135,16-01-2013,100.935552668594
414,500135,17-01-2013,100.935552668594
415,500135,18-01-2013,100.935552668594
416,500135,19-01-2013,100.935552668594
417,500135,20-01-2013,100.935552668594
418,500135,21-01-2013,100.935552668594
419,500135,22-01-2013,100.935552668594
420,500135,23-01-2013,100.935552668594
421,500135,24-01-2013,100.935552668594
422,500135,25-01-2013,100.935552668594
423,500135,26-01-2013,100.935552668594
424,500135,27-01-2013,100.935552668594
425,500135,28-01-2013,100.935552668594
426,500135,29-01-2013,100.935552668594
427,500135,30-01-2013,100.935552668594
428,500135,31-01-2013,103.523814283159
429,500135,01-02-2013,103.28772945834
430,500135,02-02-2013,103.28772945834
431,500135,03-02-2013,103.28772945834
432,500135,04-02-2013,103.28772945834
433,500135,05-02-2013,103.28772945834
434,500135,06-02-2013,103.28772945834
435,500135,07-02-2013,103.28772945834
436,500135,08-02-2013,103.28772945834
437,500135,09-02-2013,103.28772945834
438,500135,10-02-2013,103.28772945834
439,500135,11-02-2013,103.28772945834
440,500135,12-02-2013,104.395220178105
441,500135,13-02-2013,104.395220178105
442,500135,14-02-2013,104.395220178105
443,500135,15-02-2013,104.395220178105
444,500135,16-02-2013,104.395220178105
445,500135,17-02-2013,104.395220178105
446,500135,18-02-2013,104.395220178105
447,500135,19-02-2013,104.395220178105
448,500135,20-02-2013,104.395220178105
449,500135,21-02-2013,104.395220178105
450,500135,22-02-2013,104.395220178105
451,500135,23-02-2013,104.395220178105
452,500135,24-02-2013,104.395220178105
453,500135,25-02-2013,104.395220178105
454,500135,26-02-2013,104.395220178105
455,500135,27-02-2013,104.395220178105
456,500135,28-02-2013,102.068221790566
457,500135,01-03-2013,102.068221790566
458,500135,02-03-2013,102.068221790566
459,500135,03-03-2013,102.068221790566
460,500135,04-03-2013,102.068221790566
461,500135,05-03-2013,102.068221790566
462,500135,06-03-2013,102.068221790566
463,500135,07-03-2013,102.068221790566
464,500135,08-03-2013,102.068221790566
465,500135,09-03-2013,102.068221790566
466,500135,10-03-2013,102.068221790566
467,500135,11-03-2013,102.068221790566
468,500135,12-03-2013,102.068221790566
469,500135,13-03-2013,102.068221790566
470,500135,14-03-2013,102.068221790566
471,500135,15-03-2013,102.068221790566
472,500135,16-03-2013,102.068221790566
473,500135,17-03-2013,102.068221790566
474,500135,18-03-2013,102.068221790566
475,500135,19-03-2013,102.068221790566
476,500135,20-03-2013,102.068221790566
477,500135,21-03-2013,102.068221790566
478,500135,22-03-2013,102.068221790566
479,500135,23-03-2013,102.068221790566
480,500135,24-03-2013,102.068221790566
481,500135,25-03-2013,102.068221790566
482,500135,26-03-2013,102.068221790566
483,500135,27-03-2013,102.068221790566
484,500135,28-03-2013,102.068221790566
485,500135,29-03-2013,102.068221790566
486,500135,30-03-2013,102.068221790566
487,500135,31-03-2013,109.017370213101
488,500135,01-04-2013,109.017370213101
489,500135,02-04-2013,109.017370213101
490,500135,03-04-2013,109.017370213101
491,500135,04-04-2013,109.017370213101
492,500135,05-04-2013,109.017370213101
493,500135,06-04-2013,109.017370213101
494,500135,07-04-2013,109.017370213101
495,500135,08-04-2013,109.017370213101
496,500135,09-04-2013,109.017370213101
497,500135,10-04-2013,109.017370213101
498,500135,11-04-2013,109.017370213101
499,500135,12-04-2013,109.017370213101
500,500135,13-04-2013,109.017370213101
501,500135,14-04-2013,109.017370213101
502,500135,15-04-2013,109.017370213101
503,500135,16-04-2013,109.017370213101
504,500135,17-04-2013,109.017370213101
505,500135,18-04-2013,109.017370213101
506,500135,19-04-2013,109.017370213101
507,500135,20-04-2013,109.017370213101
508,500135,21-04-2013,109.017370213101
509,500135,22-04-2013,109.017370213101
510,500135,23-04-2013,109.017370213101
511,500135,24-04-2013,109.017370213101
512,500135,25-04-2013,109.017370213101
513,500135,26-04-2013,109.017370213101
514,500135,27-04-2013,109.017370213101
515,500135,28-04-2013,109.017370213101
516,500135,29-04-2013,109.017370213101
517,500135,30-04-2013,112.455172639239
518,500135,01-05-2013,112.455172639239
519,500135,02-05-2013,112.455172639239
520,500135,03-05-2013,112.455172639239
521,500135,04-05-2013,112.455172639239
522,500135,05-05-2013,112.455172639239
523,500135,06-05-2013,112.455172639239
524,500135,07-05-2013,112.455172639239
525,500135,08-05-2013,112.455172639239
526,500135,09-05-2013,112.455172639239
527,500135,10-05-2013,112.455172639239
528,500135,11-05-2013,112.455172639239
529,500135,12-05-2013,112.455172639239
530,500135,13-05-2013,112.455172639239
531,500135,14-05-2013,112.455172639239
532,500135,15-05-2013,112.455172639239
533,500135,16-05-2013,112.455172639239
534,500135,17-05-2013,112.455172639239
